Region/state of residence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,6603.0,6866.0,7052.0,7236.0,7477.0,7611.0,7938.0,8337.0,8652.0,8936.0,9246.0,9671.0,10191.0
New England,8445.0,8869.0,9043.0,9226.0,9484.0,9660.0,9990.0,10516.0,10940.0,11221.0,11643.0,12123.0,12728.0
Connecticut,8195.0,8721.0,8831.0,8910.0,9229.0,9440.0,9831.0,10294.0,10705.0,10989.0,11378.0,11831.0,12489.0
Maine,7924.0,8192.0,8342.0,8584.0,8753.0,8813.0,9115.0,9591.0,10018.0,10399.0,10950.0,11488.0,12077.0
Massachusetts,8974.0,9361.0,9533.0,9720.0,9952.0,10085.0,10394.0,11010.0,11490.0,11746.0,12215.0,12729.0,13319.0
New Hampshire,7583.0,8129.0,8445.0,8717.0,8960.0,9186.0,9367.0,9763.0,10157.0,10573.0,10974.0,11310.0,11793.0
Rhode Island,8048.0,8343.0,8460.0,8665.0,8859.0,9016.0,9484.0,9914.0,10159.0,10290.0,10464.0,10988.0,11694.0
Vermont,7972.0,8464.0,8850.0,9209.0,9679.0,10247.0,10589.0,11010.0,11246.0,11521.0,11797.0,12159.0,12756.0
Mideast,7699.0,8051.0,8313.0,8550.0,8735.0,8967.0,9375.0,9840.0,10338.0,10797.0,11273.0,11836.0,12577.0
Delaware,8107.0,8385.0,8802.0,9202.0,9446.0,9768.0,10263.0,10714.0,10933.0,11444.0,11771.0,12213.0,12899.0
District of Columbia,10223.0,10701.0,11112.0,11537.0,11426.0,11583.0,11975.0,12500.0,12851.0,13131.0,13487.0,13934.0,14381.0
Maryland,7226.0,7518.0,7744.0,7928.0,8110.0,8217.0,8574.0,9001.0,9321.0,9592.0,9934.0,10248.0,10839.0
New Jersey,7353.0,7756.0,7815.0,7970.0,8337.0,8534.0,9008.0,9483.0,9979.0,10340.0,10665.0,11264.0,11868.0
New York,8059.0,8506.0,8759.0,8991.0,9085.0,9371.0,9805.0,10305.0,10927.0,11558.0,12098.0,12932.0,14007.0
Pennsylvania,7457.0,7655.0,8069.0,8371.0,8577.0,8802.0,9142.0,9562.0,9980.0,10342.0,10910.0,11175.0,11603.0
Great Lakes,6688.0,6997.0,7216.0,7393.0,7672.0,7806.0,8143.0,8481.0,8797.0,9050.0,9291.0,9754.0,10221.0
Illinois,6629.0,6859.0,7159.0,7300.0,7505.0,7695.0,8017.0,8300.0,8630.0,8849.0,9118.0,9496.0,10190.0
Indiana,6380.0,6710.0,6859.0,7104.0,7618.0,7647.0,7998.0,8368.0,8776.0,9015.0,9297.0,9927.0,10517.0
Michigan,6552.0,6824.0,7089.0,7345.0,7579.0,7693.0,7967.0,8372.0,8707.0,8940.0,9142.0,9532.0,9897.0
Ohio,6816.0,7242.0,7397.0,7488.0,7854.0,8030.0,8401.0,8754.0,9062.0,9400.0,9627.0,10173.0,10478.0
