Region/state of residence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,204.0,218.0,228.0,239.0,249.0,256.0,266.0,279.0,290.0,306.0,323.0,344.0,375.0
New England,291.0,312.0,329.0,361.0,387.0,411.0,450.0,484.0,510.0,513.0,519.0,521.0,543.0
Connecticut,245.0,250.0,253.0,270.0,269.0,282.0,300.0,309.0,320.0,337.0,345.0,338.0,342.0
Maine,180.0,183.0,178.0,183.0,194.0,202.0,221.0,228.0,259.0,276.0,296.0,317.0,351.0
Massachusetts,384.0,421.0,454.0,508.0,557.0,593.0,653.0,713.0,748.0,729.0,728.0,727.0,751.0
New Hampshire,180.0,192.0,200.0,208.0,221.0,237.0,263.0,283.0,307.0,344.0,352.0,361.0,397.0
Rhode Island,197.0,210.0,220.0,232.0,240.0,255.0,275.0,287.0,300.0,319.0,330.0,350.0,372.0
Vermont,221.0,225.0,235.0,258.0,272.0,286.0,302.0,317.0,322.0,343.0,356.0,376.0,411.0
Mideast,251.0,265.0,282.0,294.0,301.0,312.0,328.0,348.0,366.0,400.0,452.0,510.0,557.0
Delaware,184.0,202.0,214.0,237.0,248.0,247.0,245.0,252.0,272.0,296.0,314.0,330.0,365.0
District of Columbia,441.0,585.0,516.0,581.0,550.0,555.0,555.0,578.0,549.0,539.0,525.0,500.0,531.0
Maryland,124.0,139.0,153.0,156.0,163.0,173.0,180.0,193.0,211.0,225.0,235.0,248.0,272.0
New Jersey,192.0,205.0,218.0,231.0,243.0,239.0,236.0,278.0,281.0,292.0,298.0,312.0,330.0
New York,370.0,382.0,406.0,419.0,416.0,438.0,461.0,472.0,495.0,547.0,648.0,769.0,849.0
Pennsylvania,161.0,173.0,187.0,200.0,220.0,225.0,251.0,273.0,296.0,331.0,366.0,391.0,426.0
Great Lakes,181.0,196.0,210.0,221.0,228.0,239.0,246.0,260.0,270.0,280.0,287.0,297.0,321.0
Illinois,158.0,177.0,199.0,217.0,220.0,224.0,228.0,239.0,243.0,243.0,251.0,266.0,297.0
Indiana,115.0,124.0,132.0,140.0,151.0,169.0,172.0,194.0,213.0,233.0,240.0,248.0,273.0
Michigan,237.0,254.0,264.0,268.0,274.0,293.0,302.0,321.0,338.0,352.0,346.0,359.0,375.0
Ohio,199.0,217.0,230.0,242.0,248.0,255.0,266.0,277.0,284.0,298.0,309.0,317.0,338.0
Wisconsin,168.0,182.0,186.0,196.0,211.0,227.0,233.0,243.0,251.0,259.0,273.0,275.0,300.0
Plains,166.0,188.0,200.0,214.0,236.0,245.0,263.0,275.0,282.0,293.0,295.0,310.0,328.0
Iowa,128.0,134.0,137.0,143.0,158.0,165.0,178.0,186.0,185.0,180.0,179.0,183.0,198.0
Kansas,113.0,117.0,119.0,129.0,159.0,148.0,153.0,170.0,183.0,197.0,202.0,211.0,229.0
Minnesota,292.0,343.0,371.0,402.0,438.0,457.0,496.0,505.0,509.0,522.0,532.0,555.0,599.0
Missouri,152.0,175.0,188.0,200.0,218.0,229.0,242.0,263.0,273.0,289.0,280.0,291.0,290.0
Nebraska,82.0,84.0,89.0,87.0,95.0,106.0,111.0,122.0,130.0,137.0,143.0,168.0,191.0
North Dakota,52.0,51.0,52.0,65.0,69.0,74.0,77.0,84.0,97.0,114.0,117.0,131.0,140.0
South Dakota,54.0,63.0,57.0,77.0,76.0,74.0,97.0,85.0,82.0,96.0,107.0,112.0,123.0
Southeast,191.0,202.0,207.0,213.0,215.0,221.0,227.0,239.0,249.0,262.0,274.0,286.0,310.0
Alabama,182.0,191.0,196.0,202.0,202.0,197.0,200.0,208.0,220.0,228.0,238.0,250.0,254.0
Arkansas,118.0,135.0,147.0,159.0,174.0,176.0,192.0,222.0,241.0,268.0,283.0,294.0,313.0
Florida,278.0,290.0,292.0,291.0,288.0,297.0,307.0,320.0,330.0,343.0,360.0,375.0,407.0
Georgia,123.0,134.0,139.0,155.0,164.0,175.0,171.0,181.0,186.0,197.0,204.0,219.0,237.0
Kentucky,148.0,150.0,147.0,148.0,142.0,156.0,165.0,177.0,168.0,183.0,191.0,188.0,193.0
Louisiana,254.0,273.0,283.0,289.0,292.0,299.0,314.0,320.0,338.0,361.0,365.0,371.0,403.0
Mississippi,177.0,191.0,198.0,213.0,214.0,215.0,221.0,219.0,227.0,233.0,245.0,253.0,263.0
North Carolina,195.0,205.0,200.0,200.0,193.0,194.0,196.0,211.0,214.0,221.0,228.0,239.0,256.0
South Carolina,148.0,162.0,172.0,181.0,196.0,197.0,190.0,192.0,191.0,190.0,204.0,215.0,226.0
Tennessee,184.0,195.0,206.0,213.0,209.0,211.0,221.0,235.0,252.0,265.0,271.0,289.0,344.0
Virginia,118.0,126.0,136.0,146.0,153.0,159.0,165.0,181.0,200.0,222.0,248.0,259.0,281.0
West Virginia,171.0,186.0,205.0,233.0,264.0,278.0,297.0,317.0,344.0,371.0,375.0,388.0,402.0
Southwest,215.0,236.0,243.0,251.0,256.0,249.0,252.0,258.0,262.0,271.0,273.0,282.0,305.0
Arizona,128.0,134.0,124.0,136.0,143.0,144.0,148.0,157.0,163.0,180.0,191.0,199.0,231.0
New Mexico,271.0,258.0,243.0,225.0,202.0,207.0,223.0,232.0,261.0,265.0,266.0,277.0,305.0
Oklahoma,216.0,227.0,235.0,230.0,224.0,218.0,226.0,237.0,248.0,268.0,264.0,263.0,277.0
Texas,233.0,261.0,275.0,286.0,293.0,283.0,284.0,287.0,289.0,295.0,295.0,305.0,327.0
Rocky Mountains,126.0,138.0,145.0,155.0,167.0,174.0,182.0,190.0,202.0,215.0,226.0,245.0,268.0
Colorado,129.0,140.0,151.0,164.0,175.0,185.0,199.0,215.0,234.0,252.0,270.0,293.0,327.0
Idaho,113.0,131.0,145.0,153.0,169.0,167.0,172.0,177.0,179.0,192.0,205.0,229.0,242.0
