Region/state of residence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,2373,2513,2615,2674,2797,2869,2954,3083,3205,3314,3435,3636,3855
New England,3023,3222,3348,3414,3502,3569,3611,3764,3930,4083,4258,4497,4778
Connecticut,2438,2658,2788,2921,3037,3168,3194,3301,3441,3539,3716,3917,4308
Maine,3036,3139,3322,3490,3580,3549,3591,3793,3968,4159,4375,4551,4687
Massachusetts,3385,3566,3659,3645,3714,3741,3768,3938,4126,4298,4481,4772,5062
New Hampshire,2815,3120,3313,3383,3446,3552,3604,3762,3936,4174,4395,4534,4665
Rhode Island,2895,3072,3190,3320,3396,3471,3613,3726,3825,3788,3791,4013,4261
Vermont,3227,3508,3690,3856,4055,4270,4360,4532,4670,4966,5140,5378,5638
Mideast,2704,2868,2987,3067,3189,3297,3395,3509,3720,3875,4052,4301,4709
Delaware,2940,3038,3368,3533,3695,3942,4111,4288,4293,4606,4868,5070,5377
District of Columbia,4783,4922,4933,5106,5076,5057,5079,5193,5233,5223,5308,5496,5652
Maryland,2671,2784,2883,2987,3033,3070,3178,3268,3314,3420,3495,3571,3881
New Jersey,2242,2496,2535,2542,2758,2832,2924,3084,3298,3424,3500,3752,4135
New York,2846,3061,3178,3246,3389,3534,3660,3750,4073,4300,4490,4910,5500
Pennsylvania,2710,2759,2935,3063,3121,3224,3277,3401,3538,3624,3901,3978,4199
Great Lakes,2581,2754,2854,2891,3042,3083,3188,3266,3394,3501,3585,3880,4056
Illinois,2554,2638,2741,2784,2861,2971,3095,3134,3316,3442,3535,3729,4027
Indiana,2438,2668,2721,2809,3119,3008,3110,3142,3310,3357,3474,3881,4155
Michigan,2568,2674,2827,2892,2996,3010,3077,3212,3320,3447,3520,3766,3926
Ohio,2690,2997,3053,3014,3248,3339,3419,3486,3577,3676,3765,4147,4181
Wisconsin,2607,2760,2906,2978,3027,3033,3214,3352,3425,3538,3571,3871,3975
Plains,2687,2794,2884,2971,3082,3144,3244,3375,3539,3653,3812,3985,4180
Iowa,2580,2687,2797,2867,2966,3029,3136,3291,3406,3497,3590,3848,4109
Kansas,2380,2445,2493,2559,2707,2681,2768,2906,3085,3280,3489,3693,3910
Minnesota,2502,2680,2814,2983,3087,3267,3404,3495,3687,3760,3962,3966,4043
Missouri,2919,2949,2986,3016,3138,3112,3155,3285,3418,3498,3601,3782,3955
Nebraska,2837,2909,3022,3018,3075,3114,3213,3320,3513,3697,3797,4039,4307
North Dakota,2897,3188,3193,3400,3401,3564,3650,3791,3849,3887,4032,4412,4714
South Dakota,3154,3426,3706,3937,4105,4309,4584,4906,5230,5561,6045,6469,6991
Southeast,2196,2326,2394,2424,2560,2612,2699,2816,2922,3034,3110,3281,3479
Alabama,2024,2143,2177,2216,2396,2515,2554,2644,2773,2844,2912,3117,3350
Arkansas,2191,2299,2359,2409,2532,2559,2679,2849,3067,3247,3265,3459,3672
Florida,2127,2280,2367,2352,2489,2503,2612,2697,2746,2844,2981,3107,3196
Georgia,1874,1972,1988,2014,2150,2276,2360,2499,2587,2680,2776,2984,3258
Kentucky,2488,2677,2768,2853,2897,3023,3141,3292,3406,3563,3760,3990,4289
Louisiana,2445,2615,2779,2702,2732,2854,2972,3092,3244,3484,3558,3761,4295
Mississippi,2646,2681,2609,2658,2973,3020,3081,3184,3363,3442,3296,3431,3790
North Carolina,2158,2293,2375,2470,2641,2582,2642,2810,2940,3023,3113,3255,3325
South Carolina,2410,2525,2613,2648,2672,2713,2792,2864,2989,3044,3022,3195,3417
Tennessee,2103,2161,2244,2274,2429,2514,2570,2696,2825,3059,2997,3086,3313
Virginia,2192,2339,2395,2449,2587,2641,2725,2798,2866,2897,2992,3250,3403
West Virginia,2990,3239,3324,3413,3705,3802,3953,4222,4549,4849,4972,5292,5724
Southwest,2125,2247,2333,2367,2480,2529,2599,2714,2768,2841,2895,3038,3233
Arizona,1984,2132,2233,2214,2281,2349,2388,2495,2611,2760,2854,2977,3263
New Mexico,2398,2573,2701,2687,2754,2800,2954,3172,3288,3452,3530,3691,3960
Oklahoma,2425,2469,2597,2744,2889,2987,3143,3233,3309,3509,3641,3754,3991
Texas,2094,2216,2289,2324,2447,2485,2545,2660,2692,2723,2756,2909,3070
Rocky Mountains,2063,2183,2277,2338,2420,2518,2627,2739,2822,2964,3132,3239,3345
Colorado,2029,2166,2259,2270,2322,2449,2546,2662,2705,2817,2994,3108,3163
Idaho,2005,2136,2267,2448,2638,2722,2852,2954,3061,3219,3331,3376,3555
Montana,2685,2845,2999,3092,3197,3408,3469,3656,3770,3962,4228,4464,4613
Utah,1772,1836,1869,1928,1990,1995,2115,2176,2300,2439,2604,2693,2774
Wyoming,2841,2985,3213,3343,3477,3619,3847,4096,4271,4621,4744,4873,5329
Far West,2079,2205,2356,2471,2587,2705,2776,2999,3097,3181,3367,3567,3740
Alaska,3523,3594,3768,3835,3965,4046,4213,4766,4770,4932,4892,4964,4802
California,2015,2134,2311,2454,2567,2701,2753,2984,3097,3188,3419,3642,3838
Hawaii,2282,2367,2350,2308,2505,2571,2636,2841,2901,3045,3226,3462,3784
Nevada,1884,1914,1952,2015,2003,2166,2329,2385,2563,2662,2716,2768,2817
Oregon,2108,2273,2447,2524,2602,2718,2957,3233,3340,3358,3466,3669,3847
Washington,2312,2501,2566,2608,2796,2816,2860,3043,3043,3105,3181,3330,3447
