region/state of residence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,9959,10339,10493,10721,10741,10796,10965,11168,11279,11529,11871,12372,12271
New England,10048,10439,10558,10779,10799,10884,11167,11398,11521,11699,11991,12419,12011
Connecticut,10702,11060,11080,11343,11263,11592,11898,12113,12173,12472,12635,13136,12905
Maine,8293,8647,8622,8952,8872,9013,9287,9493,9700,10019,10255,10732,10343
Massachusetts,10742,11200,11384,11566,11684,11600,11927,12199,12314,12425,12902,13391,12917
New Hampshire,8355,8597,8698,9122,9084,9214,9304,9561,9844,10092,10493,10752,10086
Rhode Island,9662,10103,10320,10332,10305,10519,10861,10894,10913,10856,11009,11420,11231
Vermont,8183,8479,8750,8837,8943,9047,9195,9497,9662,9829,9234,9088,8726
Mideast,10913,11271,11403,11692,11625,11694,11910,12100,12177,12377,12691,13138,12876
Delaware,10157,10358,10589,10930,10836,11126,11525,11632,11790,11867,12184,12594,12101
District of Columbia,11031,11210,11312,11549,11549,11714,11840,12266,12470,12662,12844,13296,13350
Maryland,11178,11334,11407,11904,11727,11824,12058,12319,12331,12625,12820,13206,12805
New Jersey,11504,11848,12028,12302,12172,12303,12625,12756,12931,12957,13308,13589,13084
New York,11169,11587,11695,11958,11954,11952,12110,12288,12381,12578,12923,13552,13379
Pennsylvania,10194,10563,10712,10966,10893,10987,11203,11412,11422,11706,12004,12331,12160
Great Lakes,9847,10234,10384,10629,10614,10704,10869,10972,11076,11339,11646,12087,11886
Illinois,10173,10550,10764,11026,10960,10967,11129,11231,11373,11603,11982,12409,12109
Indiana,9352,9790,10003,10323,10354,10517,10706,10834,11014,11269,11621,12131,12126
Michigan,10514,10862,10889,11048,11048,11109,11251,11380,11392,11592,11726,12102,11773
Ohio,9849,10286,10490,10775,10721,10878,11000,11021,11132,11460,11801,12286,12148
Wisconsin,8518,8837,8898,9106,9200,9286,9571,9775,9881,10204,10571,11002,10886
Plains,8741,9017,9206,9433,9553,9680,9946,10174,10269,10664,11018,11363,11291
Iowa,8036,8301,8485,8762,8914,9079,9240,9506,9587,9974,10283,10741,10684
Kansas,9084,9312,9554,9759,9780,9831,10105,10223,10289,10640,11065,11469,11347
Minnesota,8648,8859,9005,9176,9294,9508,9880,10206,10236,10773,11147,11131,10899
Missouri,9290,9666,9829,10011,10153,10204,10446,10582,10715,11052,11390,11935,11985
Nebraska,8731,9016,9332,9518,9595,9737,9897,10228,10301,10657,11083,11496,11541
North Dakota,7686,7740,7965,8608,8900,9082,9451,9698,9971,10342,10572,10855,10843
South Dakota,7730,7971,8151,8645,8736,8925,9268,9573,9818,10064,10342,10736,10567
Southeast,9932,10333,10495,10695,10719,10717,10837,11031,11128,11392,11760,12344,12334
Alabama,9473,9710,9821,9942,10006,10061,10247,10489,10612,10919,11343,11945,12013
Arkansas,8635,8877,8939,9162,9240,9253,9435,9689,9898,10268,10728,11299,11284
Florida,11354,11958,12057,12293,12325,12186,12263,12484,12393,12518,12913,13570,13652
Georgia,9450,9811,10016,10162,10247,10315,10394,10562,10812,11139,11543,12192,12256
Kentucky,9256,9561,9823,10098,10104,10211,10306,10388,10628,11054,11337,11818,11658
Louisiana,11329,11734,12016,12145,11963,11786,11801,11954,12064,12277,12613,13059,13177
Mississippi,10245,10621,10873,10932,10928,10823,10986,11214,11380,11703,12075,12682,12426
North Carolina,9345,9706,9914,10124,10120,10210,10291,10481,10603,10839,11263,11812,11810
South Carolina,9285,9605,9837,9986,10026,10114,10278,10397,10510,10862,11229,11820,11884
Tennessee,9625,10019,10130,10250,10224,10144,10334,10579,10722,11113,11312,11877,11894
Virginia,8436,8733,8890,9200,9287,9453,9615,9764,9906,10162,10482,10947,10622
West Virginia,9012,9253,9422,9716,9796,9972,10233,10366,10652,10980,11335,11853,11522
Southwest,10267,10681,10872,11047,11030,11025,11188,11388,11492,11762,12146,12711,12716
Arizona,9054,9417,9611,9921,9970,10033,10100,10279,10400,10845,11213,11495,11477
New Mexico,7811,8131,8273,8476,8545,8581,8709,8873,9087,9302,9579,9953,9796
Oklahoma,9688,9934,10238,10285,10192,10185,10460,10717,10964,11435,11921,12629,12428
Texas,11020,11492,11663,11814,11779,11745,11919,12118,12178,12362,12744,13394,13458
Rocky Mountains,7960,8272,8432,8589,8697,8709,8991,9179,9315,9693,9992,10412,10330
Colorado,8376,8702,8865,8943,9023,8931,9239,9427,9549,9943,10234,10615,10582
Idaho,7455,7800,7877,8181,8351,8410,8749,8886,9046,9230,9505,9928,9948
Montana,7324,7421,7596,7683,7821,8012,8208,8381,8600,9101,9275,9787,9338
Utah,7947,8300,8425,8638,8730,8824,9055,9221,9311,9802,10160,10665,10664
Wyoming,7596,8001,8444,8717,8826,8839,9096,9545,9712,9870,10342,10590,10274
Far West,9792,10197,10338,10595,10701,10828,10948,11272,11457,11648,12000,12532,12536
Alaska,8089,8617,8554,8828,8783,9091,9357,9376,9888,10117,10524,11027,10600
California,10549,10975,11142,11421,11529,11680,11769,12146,12320,12488,12877,13485,13564
Hawaii,7406,7686,7864,8143,8307,8277,8547,8802,9006,9071,9342,9812,9837
Nevada,9291,9756,10043,10342,10389,10553,10791,11118,11400,11662,12075,12614,12503
Oregon,7909,8220,8316,8504,8567,8644,8904,9156,9372,9659,9940,10326,10263
Washington,8054,8437,8448,8631,8803,8875,8992,9172,9347,9606,9854,10164,9966
