Region/state of residence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,212,219,226,234,243,247,259,273,285,298,320,339,356
New England,256,266,273,280,288,291,306,320,337,346,369,391,410
Connecticut,276,287,288,290,298,304,327,341,366,369,395,417,430
Maine,285,283,284,293,320,320,324,337,347,354,373,384,417
Massachusetts,245,256,268,276,281,284,294,306,319,330,352,376,396
New Hampshire,234,250,251,259,256,256,272,290,315,337,361,388,407
Rhode Island,250,258,270,285,295,296,308,324,334,331,353,379,396
Vermont,259,266,273,281,295,308,340,373,404,421,436,442,458
Mideast,248,258,271,282,292,296,309,325,344,359,383,404,410
Delaware,249,263,282,297,326,336,343,359,361,374,383,399,401
District of Columbia,197,194,194,205,213,213,230,251,276,286,316,324,327
Maryland,239,249,255,262,269,267,284,301,322,344,371,388,405
New Jersey,274,289,303,318,332,348,361,382,404,416,453,476,459
New York,249,261,272,281,284,284,296,315,339,359,380,407,415
Pennsylvania,236,239,258,271,290,295,304,315,324,329,348,361,376
Great Lakes,211,216,224,235,250,256,274,278,291,302,321,340,356
Illinois,245,254,274,288,304,311,336,331,348,338,355,384,422
Indiana,170,176,183,200,218,225,240,244,254,274,283,299,322
Michigan,220,222,229,235,246,254,277,298,321,346,368,383,377
Ohio,189,195,192,200,218,223,234,233,239,260,280,297,300
Wisconsin,207,207,212,223,235,240,250,255,260,265,288,303,326
Plains,209,213,222,230,245,249,260,276,291,306,326,344,375
Iowa,203,211,221,229,241,253,270,289,306,323,345,363,406
Kansas,217,221,228,234,254,263,270,281,303,311,332,350,394
Minnesota,218,219,228,233,251,254,272,290,299,320,345,368,388
Missouri,197,199,206,214,221,222,224,229,242,247,263,284,312
Nebraska,238,250,260,280,311,301,315,360,385,413,429,434,460
North Dakota,167,179,200,214,227,236,248,274,294,308,331,324,369
South Dakota,196,202,222,226,238,245,258,275,290,311,320,341,374
Southeast,194,200,208,215,223,226,238,254,266,279,303,315,339
Alabama,139,143,147,148,157,166,175,191,202,214,233,244,262
Arkansas,185,189,203,220,231,241,256,270,287,305,328,343,373
Florida,253,266,276,284,285,285,297,311,319,332,370,370,404
Georgia,177,177,188,193,201,202,206,231,239,243,262,280,303
Kentucky,184,190,200,208,215,221,239,259,283,305,323,338,356
Louisiana,186,192,197,207,224,228,245,270,294,315,338,360,377
Mississippi,145,145,156,165,173,176,192,208,223,232,252,266,290
North Carolina,192,200,200,204,211,211,221,233,243,252,278,299,324
South Carolina,160,165,168,174,189,195,197,207,219,227,244,250,264
Tennessee,178,177,193,194,203,209,225,239,249,262,268,281,304
Virginia,182,188,196,204,216,218,229,243,255,273,299,315,332
West Virginia,172,181,188,201,211,220,242,259,277,296,306,317,351
Southwest,172,179,188,197,208,212,228,244,251,259,273,292,303
Arizona,202,207,211,220,225,237,258,266,280,299,325,347,380
New Mexico,209,216,229,241,261,259,271,296,313,318,338,356,369
Oklahoma,185,190,204,218,234,240,257,274,286,287,307,331,358
Texas,160,167,176,184,196,198,212,230,234,241,250,268,272
Rocky Mountains,220,222,233,252,264,268,281,298,316,325,344,362,393
Colorado,235,234,248,272,286,288,298,318,335,339,366,386,412
Idaho,239,251,260,275,274,286,297,306,321,341,337,362,391
Montana,224,225,241,259,279,283,301,318,341,362,387,404,450
Utah,165,167,171,184,191,197,213,227,248,257,268,274,305
Wyoming,285,292,304,332,368,359,375,410,426,449,493,530,598
Far West,222,228,227,227,233,233,238,251,261,278,303,332,348
Alaska,322,343,341,378,406,428,459,481,499,519,543,571,583
California,208,214,208,205,209,205,207,219,227,244,267,298,315
Hawaii,215,218,213,214,217,221,239,252,236,250,273,290,322
Nevada,202,214,230,231,247,251,255,258,269,277,302,313,341
Oregon,253,259,272,286,305,319,335,365,391,412,445,472,492
Washington,276,286,294,297,300,311,322,330,348,365,396,421,426
