Region/state of residence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,3457,3713,3850,4006,4078,4081,4183,4339,4549,4735,4941,5129,4994
New England,4003,4317,4550,4751,4833,4753,4810,4981,5134,5557,5679,5708,5554
Connecticut,4116,4464,4522,4734,4777,4665,4813,4930,4996,5398,5473,5537,5692
Maine,3720,3974,4134,4334,4498,4555,4602,4590,5135,5155,5203,5557,5911
Massachusetts,4022,4308,4692,4888,5060,4948,4935,5233,5345,5988,6145,6141,5795
New Hampshire,4043,4469,4419,4814,4508,4476,4520,4552,4758,4771,5084,4938,4806
Rhode Island,3919,4071,4670,4432,4564,4416,4504,4393,4590,4647,4550,4501,4213
Vermont,3747,4293,4061,4565,4497,4657,5019,5301,5422,5863,5876,5807,5561
Mideast,3702,4038,4183,4448,4483,4572,4602,4852,4993,5281,5601,5775,5626
Delaware,4036,4161,4311,4900,4425,4186,4436,4446,4776,5298,5544,5379,5636
District of Columbia,6930,7483,7815,8498,8404,8256,8517,8445,8759,8972,9726,9752,9385
Maryland,3384,3739,3836,4036,4031,3893,4033,4140,4262,4486,4850,5024,5045
New Jersey,3427,3827,3877,4211,4369,4606,4731,4769,5003,5166,5294,5725,5514
New York,3966,4408,4684,4824,4834,4957,4871,5265,5324,5881,6367,6445,6264
Pennsylvania,3507,3645,3704,4072,4107,4194,4234,4528,4699,4711,4895,5036,4839
Great Lakes,3657,3867,3995,4010,4035,4050,4164,4275,4520,4727,4875,4982,4748
Illinois,3656,4104,4067,4134,4224,4355,4521,4566,4690,5012,5091,5084,4942
Indiana,3735,3571,3586,3695,3862,3913,4062,4177,4294,4344,4529,4799,4624
Michigan,3549,3744,3986,3744,3754,3593,3681,3885,4225,4456,4477,4937,4633
Ohio,3545,3554,3879,3905,3849,3910,3970,4241,4520,4748,4933,4856,4503
Wisconsin,3981,4488,4520,4745,4644,4588,4701,4474,4898,4952,5360,5276,5093
Plains,3343,3558,3587,3858,3999,3905,3987,4120,4199,4523,4742,4904,4698
Iowa,3342,3551,3741,3609,3771,3680,3780,4011,4192,4629,4780,4836,4605
Kansas,3167,3303,3457,3615,3693,3960,4025,4123,4124,4378,4614,4543,4379
Minnesota,3543,3656,3704,4148,4083,3888,4090,4176,4355,4554,4642,4938,4825
Missouri,3276,3636,3421,3832,4188,4012,3933,4068,3995,4465,4836,5081,4864
Nebraska,3333,3568,3758,3913,4026,3807,4158,4126,4295,4569,4892,4843,4437
North Dakota,3227,3370,3610,3935,4167,4178,4034,4454,4758,4796,4863,4967,4906
South Dakota,3171,3354,3372,3690,3854,3968,3920,4190,4088,4394,4588,4989,4634
Southeast,3282,3489,3617,3720,3821,3833,3958,4128,4285,4444,4705,4996,4872
Alabama,3127,3403,3318,3371,3300,3330,3391,3566,3740,4041,4234,4681,4680
Arkansas,3211,3219,3160,3320,3562,3479,3663,3724,4128,4359,4634,4770,4836
Florida,3325,3533,3895,3917,3957,4011,4191,4319,4483,4639,5104,5272,5057
Georgia,3373,3475,3578,3761,3853,4018,4133,4520,4613,4700,4820,5277,5359
Kentucky,3306,3797,3919,4313,4323,4246,4238,4408,4303,4124,4644,5065,4934
Louisiana,3264,3425,3576,3597,4069,4002,4136,4451,4578,4540,4813,5061,4665
Mississippi,3150,3323,3603,3571,3656,3654,3723,3763,3801,3927,4171,4514,4310
North Carolina,3204,3611,3505,3580,3551,3383,3525,3972,4169,4453,4487,4873,4647
South Carolina,3300,3521,3488,3810,3705,3803,4007,3819,3972,4134,4153,4243,4402
Tennessee,3605,3633,3739,3826,4100,4192,4262,4006,4421,4619,4823,5236,5501
Virginia,3092,3264,3472,3447,3694,3713,3876,4061,4150,4316,4598,4761,4434
West Virginia,3328,3352,3342,3817,4097,3858,3661,3665,3838,4269,4760,5108,4602
Southwest,3212,3581,3762,3781,3966,3973,4079,4116,4398,4470,4713,4960,4763
Arizona,3350,3464,3515,3777,3766,3417,3636,3828,4407,4318,4424,4495,4231
New Mexico,2703,3303,3452,3819,4221,4015,4065,4147,4462,4739,4505,4933,4773
Oklahoma,2840,3320,3364,3239,3334,3292,3597,3692,3915,4217,4154,4480,4620
Texas,3276,3681,3924,3874,4109,4233,4276,4257,4468,4531,4889,5157,4923
Rocky Mountains,3057,3207,3178,3400,3500,3589,3726,3745,4076,4227,4216,4159,4102
Colorado,3334,3522,3389,3758,3832,3981,4151,4115,4525,4835,4602,4468,4538
Idaho,2732,2936,2898,2799,3027,3064,3170,3486,3759,3767,4076,4094,4075
Montana,2945,2914,2952,3365,3517,3514,3520,3339,3863,4377,4377,4583,4274
Utah,2705,2796,2919,3027,3058,3112,3264,3318,3529,3377,3539,3513,3287
Wyoming,3750,4071,3952,4142,4452,4465,4597,4466,4738,5215,5152,5012,5355
Far West,3390,3643,3827,4097,4097,4048,4201,4425,4748,4812,4940,5154,5168
Alaska,4434,4845,5089,5418,6143,5306,5470,6684,6804,6528,6278,6496,6523
California,3329,3536,3763,4172,4135,4131,4307,4626,4976,4993,5071,5312,5302
Hawaii,3337,3513,3525,3724,3899,3706,3905,4101,4421,4707,5186,5126,4601
Nevada,3206,3971,3790,3814,3167,3214,3404,3693,3482,3697,3841,4110,4277
Oregon,3514,3870,3969,3947,4055,3742,3823,3774,4179,4316,4660,4686,4692
Washington,3614,3836,4014,3869,4125,4062,4125,3933,4323,4513,4722,4951,5096
