date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WI,WV,WY
1997-01-01,2857,2805,2394,2521,2879,2568,3567,3049,3053,2751,3159,2152,2872,2691,2698,2786,2787,2834,2972,3033,3945,2871,3505,2577,2913,2452,2579,2265,3056,3131,2447,3465,2656,2966,2897,2476,2455,3181,3435,2533,2818,3041,2577,2055,2756,2465,2686,2922,2997,2303
1998-01-01,2919,3002,2517,2655,2957,2680,3719,3228,3145,2832,3196,2272,2988,2842,2865,2904,2931,2895,3162,3150,4155,2913,3622,2674,3055,2654,2744,2333,3151,3290,2544,3627,2747,3140,3006,2631,2600,3297,3540,2636,2945,3069,2696,2110,2926,2567,2952,3085,3170,2451
1999-01-01,2947,3238,2542,2733,2972,2752,3843,3304,3220,2857,3225,2357,3076,2932,2992,3045,3027,2943,3318,3222,4188,2992,3771,2692,3110,2830,2938,2444,3252,3399,2579,3752,2875,3214,3128,2709,2720,3407,3575,2724,3130,3097,2731,2091,3185,2667,3165,3233,3281,2621
2000-01-01,3078,3716,2683,2882,3039,3006,4019,3488,3388,3010,3349,2522,3260,3138,3172,3164,3173,3024,3548,3422,4425,3138,3981,2850,3309,3018,3188,2609,3432,3551,2630,3923,3066,3382,3334,2848,2947,3597,3733,2901,3314,3267,2888,2299,3440,2836,3261,3455,3460,2867
2001-01-01,3270,4308,2872,3150,3191,3294,4314,3815,3649,3164,3540,2747,3496,3367,3406,3452,3445,3269,3828,3718,4758,3296,4230,3091,3621,3301,3504,2849,3716,3758,2815,4187,3315,3745,3669,3071,3214,3887,3976,3171,3609,3506,3165,2472,3766,3049,3522,3767,3734,3138
2002-01-01,3543,4798,3137,3409,3405,3603,4630,4137,3936,3360,3667,2992,3742,3645,3649,3651,3716,3532,4144,4010,5119,3520,4610,3360,3887,3565,3772,3117,4089,4107,3007,4482,3508,4033,3980,3298,3476,4158,4256,3404,3977,3737,3447,2685,4155,3313,3809,4144,4003,3413
2003-01-01,3690,5089,3404,3579,3629,3784,4829,4503,4107,3535,3870,3141,3927,3876,3815,3838,3853,3728,4378,4258,5503,3724,4812,3550,4133,3751,3992,3258,4429,4358,3129,4769,3719,4233,4209,3612,3651,4391,4507,3554,4234,3916,3581,2858,4556,3530,4058,4446,4214,3596
2004-01-01,3902,5342,3618,3778,3873,4081,5128,4870,4332,3731,4066,3295,4158,4212,4035,4088,4064,3975,4738,4559,5841,3990,5083,3853,4333,3962,4268,3497,4783,4606,3379,5061,3972,4509,4519,3798,3959,4695,4834,3765,4496,4198,3767,3110,4792,3775,4319,4782,4501,3865
2005-01-01,4162,5789,3905,4009,4127,4178,5355,5233,4509,3925,4379,3507,4420,4432,4275,4325,4322,4110,5039,4831,6161,4277,5329,3995,4549,4281,4605,3645,5149,4821,3722,5262,4154,4803,4829,4108,4236,4998,5114,3978,4931,4450,3964,3325,5122,4018,4567,5047,4762,4192
2006-01-01,4279,6023,4016,4110,4355,4331,5518,5421,4720,4012,4531,3710,4641,4675,4465,4527,4511,4456,5303,5053,6557,4532,5540,4270,4575,4450,4883,3778,5565,5008,3832,5508,4351,5032,5028,4267,4450,5247,5393,4144,5259,4597,4072,3461,5466,4182,4739,5322,4899,4428
2007-01-01,4414,6521,4185,4306,4615,4604,5760,5747,4949,4139,4787,3982,4961,4972,4681,4811,4670,4664,5609,5346,7001,4806,5802,4578,4967,4664,5106,4042,5982,5277,4087,5745,4476,5347,5207,4495,4733,5509,5680,4345,5535,4781,4249,3630,5760,4453,5091,5608,5161,4767
2008-01-01,4499,6972,4390,4473,4906,4778,6061,6065,5127,4184,5020,4091,5116,5087,4881,5027,4775,4857,5881,5629,7321,5032,5938,4772,5304,4915,5364,4219,6315,5532,4453,5894,4600,5665,5393,4740,4918,5739,5962,4535,5893,4846,4459,3845,6052,4682,5440,5881,5364,4972
2009-01-01,4625,7288,4564,4609,5134,4972,6325,6276,5335,4319,5180,4284,5301,5419,5039,5179,4997,5079,6103,5845,7587,5234,6191,4867,5469,5193,5513,4275,6741,5727,4722,6156,4785,6070,5640,4789,5116,5887,6190,4691,6209,4990,4678,4003,6388,4901,5729,6148,5702,5126
2010-01-01,4712,7632,4737,4679,5310,5101,6528,6667,5490,4386,5175,4456,5532,5578,5211,5298,5126,5200,6324,6019,7793,5490,6384,5043,5603,5451,5736,4363,7030,5814,4916,6338,4914,6304,5849,4918,5318,6182,6379,4862,6524,5152,4838,4081,6629,5033,5889,6417,5832,5454
2011-01-01,4785,7978,4816,4769,5520,5158,6710,6939,5581,4476,5227,4702,5668,5788,5352,5461,5275,5280,6592,6180,7851,5683,6534,5190,5766,5645,5880,4511,7189,5875,5009,6423,5074,6678,6007,5101,5443,6418,6523,4942,6807,5242,4947,4214,6851,5199,6029,6586,6002,5643
2012-01-01,4963,8232,4942,4922,5706,5241,6840,7087,5769,4670,5289,4862,5801,6209,5469,5671,5356,5329,6672,6251,7941,5848,6658,5360,6015,5861,6017,4636,7241,6127,5143,6483,5274,6798,6310,5242,5552,6556,6545,4979,7020,5407,5085,4358,7125,5378,6269,6615,6352,5815
2013-01-01,5080,8292,5011,4939,5902,5368,6974,7323,5765,4844,5429,4959,5901,6132,5577,5684,5497,5446,6711,6263,7971,5894,6857,5376,6044,6115,6081,4801,7315,6211,5193,6658,5241,7096,6480,5340,5692,6672,6663,5008,7192,5529,5095,4385,7373,5430,6251,6696,6520,5937
