Region/state of residence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,338.0,337.0,342.0,347.0,349.0,352.0,360.0,374.0,391.0,403.0,421.0,436.0,432.0
New England,434.0,442.0,448.0,457.0,456.0,464.0,474.0,500.0,531.0,525.0,543.0,557.0,531.0
Connecticut,449.0,447.0,456.0,456.0,464.0,465.0,493.0,498.0,521.0,527.0,530.0,542.0,510.0
Maine,340.0,362.0,389.0,411.0,380.0,412.0,396.0,400.0,420.0,420.0,442.0,458.0,451.0
Massachusetts,459.0,466.0,464.0,477.0,474.0,484.0,489.0,531.0,571.0,552.0,574.0,592.0,558.0
New Hampshire,467.0,488.0,500.0,514.0,520.0,522.0,544.0,578.0,607.0,613.0,643.0,652.0,648.0
Rhode Island,328.0,335.0,338.0,336.0,335.0,328.0,331.0,348.0,364.0,363.0,379.0,383.0,366.0
Vermont,404.0,413.0,427.0,428.0,444.0,446.0,457.0,482.0,515.0,526.0,546.0,555.0,551.0
Mideast,343.0,340.0,350.0,354.0,357.0,362.0,370.0,384.0,408.0,415.0,428.0,441.0,423.0
Delaware,414.0,416.0,427.0,440.0,414.0,443.0,452.0,460.0,487.0,481.0,487.0,490.0,493.0
District of Columbia,423.0,418.0,431.0,446.0,424.0,448.0,428.0,453.0,486.0,450.0,457.0,452.0,402.0
Maryland,342.0,347.0,355.0,358.0,374.0,362.0,367.0,391.0,424.0,425.0,446.0,459.0,448.0
New Jersey,408.0,395.0,396.0,397.0,409.0,414.0,432.0,449.0,481.0,485.0,499.0,507.0,467.0
New York,347.0,348.0,352.0,356.0,352.0,357.0,367.0,378.0,398.0,407.0,421.0,434.0,418.0
Pennsylvania,283.0,278.0,304.0,308.0,313.0,322.0,322.0,335.0,355.0,367.0,375.0,391.0,385.0
Great Lakes,331.0,336.0,352.0,357.0,350.0,365.0,371.0,386.0,401.0,405.0,419.0,428.0,426.0
Illinois,330.0,331.0,355.0,344.0,354.0,352.0,359.0,388.0,405.0,404.0,418.0,432.0,447.0
Indiana,296.0,302.0,305.0,315.0,327.0,328.0,335.0,358.0,374.0,384.0,400.0,408.0,419.0
Michigan,362.0,366.0,371.0,377.0,372.0,391.0,398.0,417.0,438.0,433.0,443.0,448.0,432.0
Ohio,299.0,306.0,319.0,334.0,319.0,341.0,346.0,339.0,355.0,373.0,385.0,395.0,374.0
Wisconsin,383.0,397.0,429.0,445.0,394.0,443.0,444.0,451.0,456.0,447.0,468.0,475.0,485.0
Plains,322.0,333.0,343.0,351.0,347.0,362.0,377.0,386.0,405.0,412.0,429.0,442.0,449.0
Iowa,306.0,325.0,333.0,352.0,344.0,363.0,367.0,381.0,395.0,402.0,411.0,417.0,427.0
Kansas,328.0,334.0,338.0,349.0,351.0,355.0,368.0,374.0,404.0,416.0,440.0,453.0,465.0
Minnesota,401.0,415.0,423.0,429.0,400.0,432.0,463.0,452.0,467.0,467.0,486.0,511.0,497.0
Missouri,265.0,275.0,281.0,285.0,295.0,297.0,305.0,324.0,342.0,347.0,363.0,374.0,383.0
Nebraska,284.0,280.0,314.0,310.0,316.0,328.0,341.0,351.0,367.0,380.0,392.0,401.0,422.0
North Dakota,344.0,357.0,394.0,408.0,409.0,436.0,465.0,478.0,508.0,521.0,537.0,527.0,559.0
South Dakota,334.0,338.0,360.0,371.0,398.0,399.0,420.0,450.0,480.0,511.0,534.0,548.0,577.0
Southeast,293.0,292.0,297.0,303.0,312.0,315.0,322.0,333.0,348.0,365.0,383.0,399.0,408.0
Alabama,259.0,257.0,265.0,268.0,273.0,280.0,280.0,301.0,314.0,317.0,331.0,345.0,361.0
Arkansas,266.0,273.0,272.0,280.0,302.0,295.0,303.0,316.0,329.0,347.0,363.0,376.0,374.0
Florida,297.0,285.0,288.0,295.0,317.0,313.0,319.0,326.0,321.0,369.0,387.0,411.0,425.0
Georgia,299.0,300.0,298.0,300.0,308.0,307.0,316.0,332.0,357.0,361.0,380.0,389.0,388.0
Kentucky,245.0,250.0,252.0,257.0,262.0,266.0,273.0,286.0,313.0,315.0,328.0,334.0,340.0
Louisiana,246.0,248.0,253.0,256.0,281.0,265.0,277.0,281.0,320.0,330.0,345.0,362.0,370.0
Mississippi,220.0,221.0,232.0,227.0,246.0,246.0,259.0,268.0,295.0,305.0,320.0,327.0,341.0
North Carolina,329.0,340.0,344.0,350.0,346.0,362.0,376.0,386.0,398.0,403.0,421.0,442.0,453.0
South Carolina,292.0,286.0,301.0,304.0,307.0,313.0,323.0,342.0,370.0,380.0,401.0,415.0,429.0
Tennessee,272.0,278.0,287.0,289.0,287.0,299.0,293.0,303.0,315.0,331.0,344.0,357.0,377.0
Virginia,361.0,365.0,375.0,391.0,385.0,396.0,400.0,415.0,437.0,440.0,460.0,474.0,474.0
West Virginia,271.0,276.0,279.0,280.0,293.0,301.0,306.0,319.0,340.0,345.0,359.0,370.0,370.0
Southwest,290.0,289.0,293.0,298.0,303.0,296.0,305.0,319.0,328.0,346.0,358.0,372.0,367.0
Arizona,323.0,317.0,311.0,313.0,335.0,337.0,338.0,350.0,370.0,382.0,408.0,423.0,437.0
New Mexico,291.0,292.0,310.0,321.0,334.0,336.0,360.0,372.0,390.0,400.0,403.0,406.0,406.0
Oklahoma,316.0,316.0,323.0,330.0,335.0,338.0,349.0,334.0,355.0,368.0,390.0,401.0,411.0
Texas,277.0,278.0,282.0,288.0,287.0,277.0,287.0,304.0,309.0,330.0,338.0,353.0,340.0
Rocky Mountains,370.0,373.0,376.0,379.0,395.0,398.0,412.0,437.0,446.0,476.0,493.0,506.0,523.0
Colorado,378.0,392.0,390.0,397.0,412.0,423.0,436.0,465.0,458.0,503.0,523.0,534.0,542.0
Idaho,406.0,395.0,393.0,389.0,390.0,395.0,402.0,433.0,450.0,454.0,451.0,478.0,487.0
Montana,324.0,326.0,339.0,342.0,373.0,378.0,397.0,405.0,450.0,478.0,490.0,505.0,520.0
Utah,352.0,344.0,352.0,355.0,372.0,361.0,374.0,400.0,415.0,436.0,461.0,471.0,505.0
Wyoming,361.0,359.0,378.0,380.0,404.0,398.0,427.0,439.0,475.0,488.0,507.0,516.0,559.0
Far West,414.0,400.0,393.0,393.0,394.0,386.0,391.0,405.0,421.0,440.0,469.0,495.0,479.0
Alaska,467.0,455.0,471.0,465.0,512.0,499.0,523.0,532.0,561.0,598.0,623.0,643.0,636.0
California,408.0,391.0,380.0,380.0,376.0,368.0,368.0,378.0,391.0,412.0,443.0,471.0,453.0
Hawaii,356.0,353.0,356.0,352.0,342.0,339.0,337.0,343.0,347.0,371.0,383.0,411.0,416.0
Nevada,343.0,325.0,325.0,335.0,340.0,343.0,368.0,399.0,420.0,412.0,444.0,448.0,437.0
Oregon,416.0,415.0,420.0,424.0,444.0,431.0,453.0,485.0,505.0,520.0,540.0,557.0,550.0
Washington,485.0,476.0,478.0,473.0,486.0,476.0,488.0,507.0,533.0,550.0,577.0,604.0,582.0
