Region/state of residence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,952.0,984.0,987.0,1004.0,1014.0,1021.0,1119.0,1189.0,1192.0,1201.0,1229.0,1277.0,1318.0
New England,1100.0,1134.0,1120.0,1133.0,1149.0,1193.0,1305.0,1388.0,1392.0,1399.0,1426.0,1478.0,1523.0
Connecticut,1297.0,1347.0,1315.0,1317.0,1321.0,1363.0,1505.0,1611.0,1630.0,1653.0,1683.0,1744.0,1788.0
Maine,1015.0,1026.0,1002.0,1015.0,1012.0,1064.0,1178.0,1270.0,1286.0,1305.0,1336.0,1387.0,1432.0
Massachusetts,1032.0,1059.0,1054.0,1072.0,1090.0,1124.0,1230.0,1310.0,1314.0,1318.0,1354.0,1413.0,1469.0
New Hampshire,1004.0,1048.0,1045.0,1067.0,1097.0,1158.0,1224.0,1265.0,1245.0,1230.0,1234.0,1257.0,1272.0
Rhode Island,1195.0,1239.0,1219.0,1214.0,1243.0,1262.0,1411.0,1525.0,1547.0,1578.0,1620.0,1697.0,1765.0
Vermont,908.0,939.0,950.0,982.0,1032.0,1189.0,1224.0,1222.0,1155.0,1093.0,1028.0,987.0,942.0
Mideast,1128.0,1185.0,1191.0,1207.0,1189.0,1236.0,1364.0,1462.0,1482.0,1508.0,1552.0,1625.0,1691.0
Delaware,1213.0,1230.0,1241.0,1292.0,1304.0,1343.0,1485.0,1586.0,1591.0,1599.0,1645.0,1714.0,1767.0
District of Columbia,957.0,1062.0,1052.0,1036.0,1029.0,1090.0,1304.0,1498.0,1614.0,1734.0,1790.0,1882.0,1956.0
Maryland,1038.0,1074.0,1065.0,1054.0,1046.0,1071.0,1148.0,1201.0,1193.0,1187.0,1200.0,1235.0,1267.0
New Jersey,1189.0,1246.0,1211.0,1204.0,1201.0,1213.0,1347.0,1448.0,1470.0,1490.0,1543.0,1621.0,1694.0
New York,1148.0,1221.0,1247.0,1283.0,1236.0,1307.0,1459.0,1581.0,1621.0,1675.0,1732.0,1824.0,1906.0
Pennsylvania,1099.0,1143.0,1152.0,1168.0,1175.0,1219.0,1326.0,1400.0,1398.0,1396.0,1430.0,1489.0,1543.0
Great Lakes,892.0,930.0,939.0,966.0,972.0,980.0,1062.0,1122.0,1118.0,1119.0,1140.0,1179.0,1216.0
