Region/state of residence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,140.0,135.0,129.0,130.0,138.0,142.0,146.0,152.0,157.0,160.0,166.0,174.0,167.0
New England,145.0,144.0,139.0,139.0,146.0,149.0,154.0,162.0,170.0,173.0,181.0,189.0,183.0
Connecticut,135.0,133.0,127.0,126.0,130.0,131.0,136.0,142.0,149.0,151.0,157.0,165.0,155.0
Maine,124.0,125.0,120.0,120.0,125.0,129.0,132.0,139.0,145.0,146.0,153.0,159.0,154.0
Massachusetts,160.0,157.0,152.0,152.0,160.0,165.0,169.0,179.0,188.0,192.0,202.0,211.0,208.0
New Hampshire,163.0,163.0,158.0,159.0,168.0,172.0,176.0,183.0,193.0,196.0,205.0,212.0,197.0
Rhode Island,119.0,118.0,116.0,116.0,123.0,127.0,131.0,136.0,140.0,142.0,146.0,153.0,150.0
Vermont,109.0,108.0,104.0,106.0,114.0,119.0,124.0,130.0,136.0,139.0,147.0,153.0,148.0
Mideast,136.0,133.0,128.0,129.0,137.0,143.0,147.0,154.0,162.0,166.0,174.0,183.0,176.0
Delaware,190.0,189.0,176.0,180.0,184.0,190.0,192.0,199.0,205.0,207.0,215.0,222.0,209.0
District of Columbia,131.0,120.0,116.0,117.0,118.0,118.0,119.0,124.0,128.0,126.0,128.0,132.0,124.0
Maryland,124.0,123.0,117.0,118.0,122.0,125.0,128.0,133.0,140.0,141.0,147.0,154.0,149.0
New Jersey,156.0,152.0,144.0,144.0,152.0,158.0,163.0,171.0,179.0,181.0,190.0,198.0,190.0
New York,136.0,134.0,129.0,129.0,138.0,143.0,148.0,155.0,164.0,173.0,181.0,192.0,184.0
Pennsylvania,123.0,119.0,117.0,120.0,130.0,137.0,141.0,147.0,154.0,156.0,163.0,171.0,169.0
Great Lakes,153.0,148.0,143.0,146.0,156.0,162.0,167.0,175.0,181.0,184.0,192.0,201.0,194.0
Illinois,118.0,113.0,108.0,109.0,117.0,124.0,128.0,135.0,139.0,138.0,146.0,154.0,155.0
Indiana,152.0,148.0,143.0,145.0,155.0,160.0,164.0,170.0,177.0,180.0,188.0,195.0,186.0
Michigan,247.0,239.0,233.0,238.0,254.0,264.0,272.0,289.0,301.0,305.0,317.0,331.0,324.0
Ohio,129.0,127.0,122.0,125.0,134.0,139.0,142.0,146.0,150.0,157.0,163.0,170.0,158.0
