Region/state of residence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,6729.0,6803.0,6777.0,6646.0,6682.0,6867.0,6694.0,6777.0,6853.0,6977.0,7245.0,7649.0,7727.0
New England,10292.0,10616.0,9888.0,9146.0,9183.0,9156.0,8611.0,8886.0,8868.0,8824.0,9197.0,9309.0,9390.0
Connecticut,9936.0,10800.0,9156.0,8605.0,9344.0,8785.0,8015.0,8089.0,7682.0,7521.0,7792.0,7517.0,7386.0
Maine,7177.0,7936.0,6098.0,6742.0,7077.0,7824.0,7357.0,7894.0,8070.0,8729.0,9290.0,9417.0,8974.0
Massachusetts,11804.0,11887.0,11941.0,10293.0,9697.0,9582.0,8870.0,9519.0,9773.0,9616.0,10069.0,10482.0,10844.0
New Hampshire,10333.0,10250.0,9549.0,8111.0,8232.0,8699.0,8953.0,8202.0,8917.0,9395.0,9945.0,9839.0,10142.0
Rhode Island,11074.0,10848.0,10660.0,10878.0,10697.0,10781.0,10754.0,9886.0,9179.0,9068.0,8967.0,9230.0,9468.0
Vermont,7788.0,7689.0,7532.0,7444.0,7994.0,8765.0,8729.0,8476.0,8103.0,8436.0,9126.0,9622.0,9405.0
Mideast,9844.0,9718.0,9491.0,9518.0,9158.0,9069.0,9138.0,8635.0,8922.0,9391.0,9822.0,9958.0,9702.0
Delaware,6659.0,6560.0,6291.0,6333.0,6876.0,6744.0,6868.0,6709.0,6955.0,7793.0,7774.0,8163.0,7973.0
District of Columbia,10141.0,10694.0,10165.0,9937.0,9170.0,9493.0,8833.0,9132.0,9528.0,9328.0,9222.0,9685.0,10588.0
Maryland,8513.0,8434.0,8198.0,7797.0,7426.0,7441.0,7543.0,7430.0,8044.0,7667.0,7956.0,8201.0,7838.0
New Jersey,10770.0,10617.0,10304.0,10068.0,9353.0,9421.0,7914.0,7449.0,7563.0,7659.0,7971.0,8928.0,8828.0
New York,10685.0,10561.0,10108.0,10275.0,9800.0,9506.0,9910.0,9439.0,9754.0,11070.0,11115.0,10966.0,10747.0
Pennsylvania,8207.0,8052.0,8445.0,8502.0,8545.0,8778.0,9193.0,8253.0,8537.0,8016.0,9384.0,9516.0,9052.0
Great Lakes,6070.0,6380.0,6214.0,5812.0,6029.0,6379.0,6163.0,6120.0,6035.0,6282.0,6324.0,6903.0,7245.0
