Region/state of residence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,9959.0,10339.0,10493.0,10721.0,10741.0,10796.0,10965.0,11168.0,11279.0,11529.0,11871.0,12372.0,12271.0
New England,10048.0,10439.0,10558.0,10779.0,10799.0,10884.0,11167.0,11398.0,11521.0,11699.0,11991.0,12419.0,12011.0
Connecticut,10702.0,11060.0,11080.0,11343.0,11263.0,11592.0,11898.0,12113.0,12173.0,12472.0,12635.0,13136.0,12905.0
Maine,8293.0,8647.0,8622.0,8952.0,8872.0,9013.0,9287.0,9493.0,9700.0,10019.0,10255.0,10732.0,10343.0
Massachusetts,10742.0,11200.0,11384.0,11566.0,11684.0,11600.0,11927.0,12199.0,12314.0,12425.0,12902.0,13391.0,12917.0
New Hampshire,8355.0,8597.0,8698.0,9122.0,9084.0,9214.0,9304.0,9561.0,9844.0,10092.0,10493.0,10752.0,10086.0
Rhode Island,9662.0,10103.0,10320.0,10332.0,10305.0,10519.0,10861.0,10894.0,10913.0,10856.0,11009.0,11420.0,11231.0
Vermont,8183.0,8479.0,8750.0,8837.0,8943.0,9047.0,9195.0,9497.0,9662.0,9829.0,9234.0,9088.0,8726.0
Mideast,10913.0,11271.0,11403.0,11692.0,11625.0,11694.0,11910.0,12100.0,12177.0,12377.0,12691.0,13138.0,12876.0
Delaware,10157.0,10358.0,10589.0,10930.0,10836.0,11126.0,11525.0,11632.0,11790.0,11867.0,12184.0,12594.0,12101.0
District of Columbia,11031.0,11210.0,11312.0,11549.0,11549.0,11714.0,11840.0,12266.0,12470.0,12662.0,12844.0,13296.0,13350.0
Maryland,11178.0,11334.0,11407.0,11904.0,11727.0,11824.0,12058.0,12319.0,12331.0,12625.0,12820.0,13206.0,12805.0
New Jersey,11504.0,11848.0,12028.0,12302.0,12172.0,12303.0,12625.0,12756.0,12931.0,12957.0,13308.0,13589.0,13084.0
New York,11169.0,11587.0,11695.0,11958.0,11954.0,11952.0,12110.0,12288.0,12381.0,12578.0,12923.0,13552.0,13379.0
Pennsylvania,10194.0,10563.0,10712.0,10966.0,10893.0,10987.0,11203.0,11412.0,11422.0,11706.0,12004.0,12331.0,12160.0
Great Lakes,9847.0,10234.0,10384.0,10629.0,10614.0,10704.0,10869.0,10972.0,11076.0,11339.0,11646.0,12087.0,11886.0
Illinois,10173.0,10550.0,10764.0,11026.0,10960.0,10967.0,11129.0,11231.0,11373.0,11603.0,11982.0,12409.0,12109.0
Indiana,9352.0,9790.0,10003.0,10323.0,10354.0,10517.0,10706.0,10834.0,11014.0,11269.0,11621.0,12131.0,12126.0
Michigan,10514.0,10862.0,10889.0,11048.0,11048.0,11109.0,11251.0,11380.0,11392.0,11592.0,11726.0,12102.0,11773.0
Ohio,9849.0,10286.0,10490.0,10775.0,10721.0,10878.0,11000.0,11021.0,11132.0,11460.0,11801.0,12286.0,12148.0
Wisconsin,8518.0,8837.0,8898.0,9106.0,9200.0,9286.0,9571.0,9775.0,9881.0,10204.0,10571.0,11002.0,10886.0
Plains,8741.0,9017.0,9206.0,9433.0,9553.0,9680.0,9946.0,10174.0,10269.0,10664.0,11018.0,11363.0,11291.0
Iowa,8036.0,8301.0,8485.0,8762.0,8914.0,9079.0,9240.0,9506.0,9587.0,9974.0,10283.0,10741.0,10684.0
Kansas,9084.0,9312.0,9554.0,9759.0,9780.0,9831.0,10105.0,10223.0,10289.0,10640.0,11065.0,11469.0,11347.0
Minnesota,8648.0,8859.0,9005.0,9176.0,9294.0,9508.0,9880.0,10206.0,10236.0,10773.0,11147.0,11131.0,10899.0
Missouri,9290.0,9666.0,9829.0,10011.0,10153.0,10204.0,10446.0,10582.0,10715.0,11052.0,11390.0,11935.0,11985.0
Nebraska,8731.0,9016.0,9332.0,9518.0,9595.0,9737.0,9897.0,10228.0,10301.0,10657.0,11083.0,11496.0,11541.0
North Dakota,7686.0,7740.0,7965.0,8608.0,8900.0,9082.0,9451.0,9698.0,9971.0,10342.0,10572.0,10855.0,10843.0
South Dakota,7730.0,7971.0,8151.0,8645.0,8736.0,8925.0,9268.0,9573.0,9818.0,10064.0,10342.0,10736.0,10567.0
Southeast,9932.0,10333.0,10495.0,10695.0,10719.0,10717.0,10837.0,11031.0,11128.0,11392.0,11760.0,12344.0,12334.0
Alabama,9473.0,9710.0,9821.0,9942.0,10006.0,10061.0,10247.0,10489.0,10612.0,10919.0,11343.0,11945.0,12013.0
Arkansas,8635.0,8877.0,8939.0,9162.0,9240.0,9253.0,9435.0,9689.0,9898.0,10268.0,10728.0,11299.0,11284.0
Florida,11354.0,11958.0,12057.0,12293.0,12325.0,12186.0,12263.0,12484.0,12393.0,12518.0,12913.0,13570.0,13652.0
Georgia,9450.0,9811.0,10016.0,10162.0,10247.0,10315.0,10394.0,10562.0,10812.0,11139.0,11543.0,12192.0,12256.0
Kentucky,9256.0,9561.0,9823.0,10098.0,10104.0,10211.0,10306.0,10388.0,10628.0,11054.0,11337.0,11818.0,11658.0
Louisiana,11329.0,11734.0,12016.0,12145.0,11963.0,11786.0,11801.0,11954.0,12064.0,12277.0,12613.0,13059.0,13177.0
Mississippi,10245.0,10621.0,10873.0,10932.0,10928.0,10823.0,10986.0,11214.0,11380.0,11703.0,12075.0,12682.0,12426.0
North Carolina,9345.0,9706.0,9914.0,10124.0,10120.0,10210.0,10291.0,10481.0,10603.0,10839.0,11263.0,11812.0,11810.0
South Carolina,9285.0,9605.0,9837.0,9986.0,10026.0,10114.0,10278.0,10397.0,10510.0,10862.0,11229.0,11820.0,11884.0
Tennessee,9625.0,10019.0,10130.0,10250.0,10224.0,10144.0,10334.0,10579.0,10722.0,11113.0,11312.0,11877.0,11894.0
