Region/state of residence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,429.0,441.0,454.0,466.0,469.0,470.0,478.0,487.0,500.0,503.0,513.0,531.0,597.0
New England,724.0,725.0,723.0,723.0,723.0,722.0,730.0,737.0,755.0,753.0,753.0,764.0,869.0
Connecticut,874.0,864.0,862.0,861.0,847.0,856.0,880.0,884.0,912.0,907.0,895.0,910.0,1015.0
Maine,519.0,540.0,543.0,551.0,598.0,577.0,547.0,555.0,556.0,531.0,537.0,557.0,655.0
Massachusetts,754.0,755.0,743.0,735.0,727.0,717.0,718.0,721.0,731.0,727.0,728.0,731.0,829.0
New Hampshire,524.0,536.0,548.0,563.0,570.0,577.0,594.0,602.0,629.0,641.0,661.0,676.0,800.0
Rhode Island,674.0,673.0,688.0,706.0,722.0,753.0,787.0,820.0,871.0,896.0,893.0,923.0,1051.0
Vermont,494.0,492.0,522.0,539.0,553.0,565.0,583.0,598.0,620.0,626.0,637.0,668.0,791.0
Mideast,606.0,618.0,646.0,652.0,646.0,658.0,680.0,702.0,714.0,735.0,753.0,775.0,853.0
Delaware,568.0,613.0,616.0,600.0,593.0,606.0,635.0,662.0,686.0,690.0,695.0,703.0,790.0
District of Columbia,662.0,688.0,680.0,657.0,633.0,610.0,585.0,597.0,640.0,628.0,619.0,609.0,698.0
Maryland,574.0,597.0,621.0,629.0,626.0,617.0,623.0,635.0,647.0,644.0,657.0,668.0,718.0
New Jersey,556.0,565.0,565.0,563.0,569.0,584.0,606.0,609.0,641.0,658.0,674.0,688.0,770.0
New York,603.0,614.0,622.0,635.0,619.0,636.0,664.0,704.0,700.0,732.0,758.0,795.0,875.0
Pennsylvania,658.0,668.0,749.0,754.0,754.0,768.0,788.0,802.0,822.0,845.0,857.0,870.0,954.0
Great Lakes,484.0,495.0,508.0,520.0,528.0,532.0,542.0,555.0,574.0,579.0,595.0,616.0,699.0
Illinois,435.0,445.0,471.0,485.0,497.0,507.0,518.0,536.0,563.0,577.0,603.0,628.0,735.0
Indiana,525.0,544.0,549.0,554.0,560.0,558.0,577.0,584.0,617.0,615.0,640.0,678.0,749.0
Michigan,391.0,409.0,425.0,448.0,462.0,463.0,467.0,482.0,497.0,496.0,508.0,531.0,585.0
Ohio,594.0,590.0,591.0,596.0,594.0,604.0,614.0,627.0,648.0,660.0,673.0,688.0,778.0
Wisconsin,490.0,510.0,522.0,528.0,541.0,531.0,541.0,546.0,533.0,519.0,521.0,521.0,599.0
Plains,510.0,526.0,535.0,552.0,563.0,567.0,580.0,596.0,620.0,622.0,638.0,662.0,774.0
Iowa,582.0,592.0,600.0,615.0,626.0,631.0,664.0,685.0,712.0,727.0,756.0,780.0,919.0
Kansas,474.0,494.0,500.0,532.0,551.0,550.0,549.0,558.0,553.0,553.0,570.0,599.0,708.0
Minnesota,512.0,533.0,535.0,545.0,561.0,563.0,576.0,591.0,627.0,629.0,651.0,682.0,782.0
Missouri,470.0,478.0,487.0,507.0,514.0,521.0,535.0,555.0,578.0,591.0,597.0,618.0,731.0
Nebraska,530.0,542.0,565.0,586.0,591.0,593.0,596.0,614.0,636.0,609.0,612.0,613.0,700.0
North Dakota,605.0,648.0,692.0,708.0,701.0,711.0,722.0,730.0,752.0,738.0,742.0,789.0,915.0
South Dakota,527.0,555.0,559.0,568.0,572.0,570.0,571.0,577.0,601.0,576.0,609.0,627.0,758.0
Southeast,395.0,404.0,414.0,430.0,428.0,426.0,429.0,440.0,453.0,451.0,459.0,473.0,528.0
Alabama,383.0,377.0,381.0,387.0,384.0,390.0,398.0,411.0,430.0,435.0,442.0,454.0,525.0
Arkansas,415.0,423.0,435.0,435.0,439.0,444.0,444.0,444.0,471.0,478.0,481.0,505.0,591.0
Florida,424.0,441.0,462.0,496.0,493.0,487.0,481.0,487.0,500.0,485.0,488.0,495.0,541.0
Georgia,280.0,277.0,284.0,293.0,296.0,300.0,298.0,306.0,312.0,312.0,318.0,340.0,380.0
Kentucky,447.0,448.0,454.0,468.0,463.0,470.0,488.0,503.0,517.0,526.0,526.0,535.0,604.0
Louisiana,366.0,366.0,376.0,386.0,390.0,400.0,415.0,430.0,454.0,473.0,487.0,515.0,603.0
Mississippi,422.0,425.0,433.0,447.0,441.0,443.0,458.0,468.0,498.0,509.0,527.0,548.0,621.0
North Carolina,428.0,436.0,445.0,455.0,449.0,442.0,441.0,454.0,458.0,447.0,462.0,471.0,517.0
South Carolina,361.0,365.0,385.0,390.0,385.0,374.0,381.0,394.0,407.0,410.0,419.0,443.0,489.0
Tennessee,408.0,425.0,419.0,432.0,425.0,410.0,412.0,426.0,442.0,437.0,441.0,443.0,501.0
Virginia,387.0,410.0,418.0,431.0,432.0,435.0,437.0,444.0,455.0,454.0,469.0,488.0,537.0
West Virginia,503.0,507.0,510.0,518.0,520.0,546.0,578.0,621.0,662.0,696.0,708.0,750.0,854.0
Southwest,268.0,276.0,287.0,298.0,302.0,303.0,308.0,315.0,324.0,325.0,325.0,335.0,391.0
Arizona,232.0,235.0,259.0,278.0,284.0,275.0,269.0,264.0,268.0,270.0,278.0,296.0,345.0
New Mexico,228.0,234.0,238.0,259.0,266.0,269.0,269.0,289.0,298.0,296.0,306.0,315.0,349.0
Oklahoma,382.0,381.0,364.0,364.0,389.0,397.0,412.0,422.0,440.0,422.0,418.0,436.0,547.0
Texas,264.0,273.0,286.0,296.0,297.0,299.0,306.0,314.0,324.0,327.0,326.0,333.0,385.0
Rocky Mountains,292.0,309.0,318.0,332.0,339.0,337.0,336.0,335.0,342.0,341.0,345.0,361.0,413.0
Colorado,326.0,345.0,357.0,371.0,379.0,380.0,382.0,386.0,399.0,403.0,406.0,426.0,479.0
Idaho,295.0,318.0,319.0,347.0,353.0,346.0,337.0,329.0,321.0,307.0,317.0,327.0,378.0
Montana,377.0,395.0,403.0,401.0,405.0,414.0,429.0,433.0,447.0,430.0,429.0,457.0,547.0
Utah,188.0,199.0,208.0,220.0,224.0,213.0,206.0,202.0,200.0,196.0,200.0,213.0,246.0
Wyoming,335.0,349.0,362.0,377.0,387.0,397.0,406.0,384.0,420.0,449.0,454.0,466.0,532.0
Far West,294.0,316.0,333.0,350.0,363.0,356.0,363.0,362.0,370.0,367.0,382.0,407.0,457.0
