Region/state of residence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,371.0,397.0,414.0,422.0,442.0,457.0,478.0,515.0,542.0,569.0,584.0,596.0,634.0
New England,668.0,749.0,752.0,731.0,774.0,788.0,832.0,916.0,953.0,968.0,1049.0,1073.0,1125.0
Connecticut,636.0,834.0,809.0,679.0,776.0,792.0,842.0,955.0,1006.0,1048.0,1075.0,1083.0,1092.0
Maine,958.0,1001.0,957.0,953.0,928.0,934.0,1024.0,1039.0,1083.0,1127.0,1231.0,1370.0,1438.0
Massachusetts,621.0,665.0,686.0,707.0,736.0,741.0,786.0,897.0,950.0,949.0,1086.0,1094.0,1163.0
New Hampshire,421.0,455.0,479.0,509.0,567.0,618.0,609.0,638.0,690.0,742.0,744.0,761.0,810.0
Rhode Island,852.0,843.0,803.0,784.0,769.0,748.0,745.0,735.0,654.0,656.0,669.0,738.0,803.0
Vermont,930.0,1062.0,1166.0,1184.0,1282.0,1384.0,1475.0,1529.0,1487.0,1385.0,1394.0,1386.0,1449.0
Mideast,589.0,636.0,682.0,710.0,702.0,701.0,742.0,807.0,873.0,963.0,1018.0,1016.0,1058.0
Delaware,391.0,410.0,424.0,460.0,473.0,476.0,482.0,484.0,501.0,567.0,549.0,577.0,625.0
District of Columbia,447.0,532.0,1003.0,1028.0,947.0,934.0,1029.0,1040.0,1067.0,1129.0,1149.0,1197.0,1344.0
Maryland,348.0,385.0,427.0,428.0,451.0,475.0,499.0,546.0,566.0,605.0,629.0,657.0,730.0
New Jersey,387.0,407.0,431.0,466.0,464.0,448.0,528.0,510.0,546.0,557.0,595.0,640.0,661.0
New York,774.0,843.0,883.0,912.0,882.0,873.0,893.0,1011.0,1111.0,1249.0,1303.0,1311.0,1438.0
Pennsylvania,576.0,614.0,667.0,703.0,713.0,722.0,775.0,832.0,895.0,998.0,1088.0,1020.0,933.0
Great Lakes,333.0,353.0,372.0,379.0,396.0,412.0,428.0,464.0,468.0,478.0,489.0,495.0,532.0
Illinois,348.0,364.0,401.0,399.0,420.0,448.0,444.0,473.0,455.0,449.0,475.0,471.0,512.0
Indiana,321.0,342.0,349.0,349.0,352.0,367.0,394.0,424.0,415.0,444.0,474.0,487.0,519.0
Michigan,254.0,266.0,286.0,305.0,334.0,341.0,326.0,343.0,349.0,350.0,343.0,359.0,399.0
Ohio,382.0,415.0,449.0,446.0,462.0,474.0,540.0,611.0,647.0,668.0,660.0,659.0,698.0
Wisconsin,355.0,364.0,328.0,360.0,366.0,377.0,384.0,399.0,398.0,422.0,443.0,455.0,486.0
Plains,458.0,486.0,503.0,515.0,538.0,571.0,590.0,608.0,626.0,645.0,660.0,683.0,713.0
Iowa,447.0,487.0,519.0,530.0,551.0,584.0,615.0,646.0,540.0,456.0,500.0,496.0,500.0
Kansas,404.0,434.0,421.0,435.0,438.0,438.0,381.0,373.0,379.0,376.0,378.0,403.0,418.0
Minnesota,707.0,728.0,756.0,768.0,796.0,842.0,915.0,925.0,992.0,1095.0,1110.0,1142.0,1225.0
Missouri,307.0,329.0,335.0,353.0,380.0,423.0,416.0,437.0,472.0,490.0,484.0,518.0,519.0
Nebraska,341.0,376.0,397.0,378.0,402.0,425.0,439.0,478.0,503.0,470.0,538.0,551.0,584.0
