Region/state of residence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,212.0,219.0,226.0,234.0,243.0,247.0,259.0,273.0,285.0,298.0,320.0,339.0,356.0
New England,256.0,266.0,273.0,280.0,288.0,291.0,306.0,320.0,337.0,346.0,369.0,391.0,410.0
Connecticut,276.0,287.0,288.0,290.0,298.0,304.0,327.0,341.0,366.0,369.0,395.0,417.0,430.0
Maine,285.0,283.0,284.0,293.0,320.0,320.0,324.0,337.0,347.0,354.0,373.0,384.0,417.0
Massachusetts,245.0,256.0,268.0,276.0,281.0,284.0,294.0,306.0,319.0,330.0,352.0,376.0,396.0
New Hampshire,234.0,250.0,251.0,259.0,256.0,256.0,272.0,290.0,315.0,337.0,361.0,388.0,407.0
Rhode Island,250.0,258.0,270.0,285.0,295.0,296.0,308.0,324.0,334.0,331.0,353.0,379.0,396.0
Vermont,259.0,266.0,273.0,281.0,295.0,308.0,340.0,373.0,404.0,421.0,436.0,442.0,458.0
Mideast,248.0,258.0,271.0,282.0,292.0,296.0,309.0,325.0,344.0,359.0,383.0,404.0,410.0
Delaware,249.0,263.0,282.0,297.0,326.0,336.0,343.0,359.0,361.0,374.0,383.0,399.0,401.0
District of Columbia,197.0,194.0,194.0,205.0,213.0,213.0,230.0,251.0,276.0,286.0,316.0,324.0,327.0
Maryland,239.0,249.0,255.0,262.0,269.0,267.0,284.0,301.0,322.0,344.0,371.0,388.0,405.0
New Jersey,274.0,289.0,303.0,318.0,332.0,348.0,361.0,382.0,404.0,416.0,453.0,476.0,459.0
New York,249.0,261.0,272.0,281.0,284.0,284.0,296.0,315.0,339.0,359.0,380.0,407.0,415.0
Pennsylvania,236.0,239.0,258.0,271.0,290.0,295.0,304.0,315.0,324.0,329.0,348.0,361.0,376.0
Great Lakes,211.0,216.0,224.0,235.0,250.0,256.0,274.0,278.0,291.0,302.0,321.0,340.0,356.0
Illinois,245.0,254.0,274.0,288.0,304.0,311.0,336.0,331.0,348.0,338.0,355.0,384.0,422.0
Indiana,170.0,176.0,183.0,200.0,218.0,225.0,240.0,244.0,254.0,274.0,283.0,299.0,322.0
Michigan,220.0,222.0,229.0,235.0,246.0,254.0,277.0,298.0,321.0,346.0,368.0,383.0,377.0
Ohio,189.0,195.0,192.0,200.0,218.0,223.0,234.0,233.0,239.0,260.0,280.0,297.0,300.0
Wisconsin,207.0,207.0,212.0,223.0,235.0,240.0,250.0,255.0,260.0,265.0,288.0,303.0,326.0
Plains,209.0,213.0,222.0,230.0,245.0,249.0,260.0,276.0,291.0,306.0,326.0,344.0,375.0
Iowa,203.0,211.0,221.0,229.0,241.0,253.0,270.0,289.0,306.0,323.0,345.0,363.0,406.0
Kansas,217.0,221.0,228.0,234.0,254.0,263.0,270.0,281.0,303.0,311.0,332.0,350.0,394.0
Minnesota,218.0,219.0,228.0,233.0,251.0,254.0,272.0,290.0,299.0,320.0,345.0,368.0,388.0
Missouri,197.0,199.0,206.0,214.0,221.0,222.0,224.0,229.0,242.0,247.0,263.0,284.0,312.0
Nebraska,238.0,250.0,260.0,280.0,311.0,301.0,315.0,360.0,385.0,413.0,429.0,434.0,460.0
North Dakota,167.0,179.0,200.0,214.0,227.0,236.0,248.0,274.0,294.0,308.0,331.0,324.0,369.0
South Dakota,196.0,202.0,222.0,226.0,238.0,245.0,258.0,275.0,290.0,311.0,320.0,341.0,374.0
Southeast,194.0,200.0,208.0,215.0,223.0,226.0,238.0,254.0,266.0,279.0,303.0,315.0,339.0
Alabama,139.0,143.0,147.0,148.0,157.0,166.0,175.0,191.0,202.0,214.0,233.0,244.0,262.0
Arkansas,185.0,189.0,203.0,220.0,231.0,241.0,256.0,270.0,287.0,305.0,328.0,343.0,373.0
Florida,253.0,266.0,276.0,284.0,285.0,285.0,297.0,311.0,319.0,332.0,370.0,370.0,404.0
Georgia,177.0,177.0,188.0,193.0,201.0,202.0,206.0,231.0,239.0,243.0,262.0,280.0,303.0
Kentucky,184.0,190.0,200.0,208.0,215.0,221.0,239.0,259.0,283.0,305.0,323.0,338.0,356.0
Louisiana,186.0,192.0,197.0,207.0,224.0,228.0,245.0,270.0,294.0,315.0,338.0,360.0,377.0
Mississippi,145.0,145.0,156.0,165.0,173.0,176.0,192.0,208.0,223.0,232.0,252.0,266.0,290.0
North Carolina,192.0,200.0,200.0,204.0,211.0,211.0,221.0,233.0,243.0,252.0,278.0,299.0,324.0
