Region/state of residence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,1583.0,1622.0,1656.0,1720.0,1775.0,1797.0,1877.0,1984.0,2090.0,2182.0,2255.0,2339.0,2457.0
New England,1803.0,1875.0,1911.0,1988.0,2059.0,2073.0,2129.0,2246.0,2362.0,2463.0,2547.0,2653.0,2766.0
Connecticut,1845.0,1901.0,1933.0,1991.0,2086.0,2077.0,2153.0,2253.0,2360.0,2458.0,2580.0,2715.0,2849.0
Maine,1465.0,1534.0,1547.0,1569.0,1617.0,1627.0,1701.0,1830.0,1955.0,2082.0,2206.0,2306.0,2492.0
Massachusetts,1935.0,2017.0,2053.0,2147.0,2213.0,2237.0,2285.0,2415.0,2544.0,2651.0,2710.0,2811.0,2883.0
New Hampshire,1776.0,1878.0,1950.0,2054.0,2115.0,2095.0,2080.0,2161.0,2234.0,2297.0,2379.0,2469.0,2598.0
Rhode Island,1539.0,1595.0,1616.0,1672.0,1737.0,1776.0,1882.0,2013.0,2124.0,2217.0,2283.0,2351.0,2529.0
Vermont,1421.0,1450.0,1483.0,1575.0,1632.0,1679.0,1724.0,1828.0,1937.0,2022.0,2113.0,2214.0,2366.0
Mideast,1694.0,1748.0,1778.0,1854.0,1921.0,1962.0,2041.0,2150.0,2269.0,2376.0,2462.0,2583.0,2699.0
Delaware,1959.0,2025.0,2054.0,2163.0,2209.0,2186.0,2317.0,2424.0,2535.0,2624.0,2614.0,2708.0,2872.0
District of Columbia,2183.0,2180.0,2186.0,2362.0,2437.0,2557.0,2645.0,2767.0,2858.0,3017.0,3194.0,3341.0,3348.0
Maryland,1765.0,1820.0,1868.0,1937.0,2025.0,2058.0,2168.0,2334.0,2505.0,2601.0,2752.0,2869.0,2971.0
New Jersey,1949.0,2001.0,2012.0,2105.0,2208.0,2297.0,2411.0,2551.0,2678.0,2837.0,2913.0,3071.0,3160.0
New York,1585.0,1641.0,1670.0,1730.0,1768.0,1799.0,1857.0,1939.0,2025.0,2115.0,2186.0,2289.0,2422.0
Pennsylvania,1612.0,1663.0,1701.0,1784.0,1862.0,1888.0,1959.0,2058.0,2198.0,2296.0,2382.0,2503.0,2619.0
Great Lakes,1521.0,1569.0,1615.0,1679.0,1751.0,1777.0,1864.0,1976.0,2099.0,2202.0,2263.0,2317.0,2421.0
Illinois,1556.0,1608.0,1665.0,1715.0,1779.0,1803.0,1866.0,1956.0,2048.0,2133.0,2190.0,2249.0,2375.0
Indiana,1481.0,1489.0,1541.0,1621.0,1724.0,1786.0,1862.0,2031.0,2190.0,2292.0,2344.0,2441.0,2573.0
Michigan,1366.0,1450.0,1500.0,1594.0,1646.0,1668.0,1741.0,1826.0,1951.0,2013.0,2068.0,2074.0,2148.0
Ohio,1443.0,1486.0,1531.0,1585.0,1686.0,1710.0,1822.0,1967.0,2102.0,2255.0,2319.0,2392.0,2511.0
Wisconsin,1919.0,1950.0,1951.0,1997.0,2029.0,2034.0,2158.0,2237.0,2353.0,2470.0,2556.0,2590.0,2628.0
Plains,1437.0,1464.0,1510.0,1569.0,1613.0,1622.0,1669.0,1786.0,1875.0,1947.0,2009.0,2086.0,2193.0
Iowa,1342.0,1369.0,1397.0,1427.0,1470.0,1489.0,1573.0,1702.0,1791.0,1857.0,1915.0,1945.0,2040.0
Kansas,1628.0,1643.0,1657.0,1725.0,1733.0,1685.0,1743.0,1850.0,1877.0,1916.0,1943.0,1973.0,2210.0
Minnesota,1594.0,1618.0,1672.0,1646.0,1696.0,1691.0,1716.0,1798.0,1880.0,1935.0,2028.0,2204.0,2227.0
Missouri,1237.0,1274.0,1333.0,1461.0,1509.0,1558.0,1615.0,1760.0,1875.0,1963.0,2005.0,2061.0,2185.0
Nebraska,1491.0,1502.0,1555.0,1671.0,1732.0,1736.0,1758.0,1888.0,2007.0,2112.0,2190.0,2280.0,2400.0
North Dakota,1451.0,1446.0,1520.0,1560.0,1672.0,1675.0,1687.0,1819.0,1970.0,2183.0,2287.0,2232.0,2309.0
South Dakota,1447.0,1511.0,1552.0,1605.0,1620.0,1613.0,1630.0,1723.0,1766.0,1778.0,1833.0,1845.0,1959.0
