Region/state of residence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,3457.0,3713.0,3850.0,4006.0,4078.0,4081.0,4183.0,4339.0,4549.0,4735.0,4941.0,5129.0,4994.0
New England,4003.0,4317.0,4550.0,4751.0,4833.0,4753.0,4810.0,4981.0,5134.0,5557.0,5679.0,5708.0,5554.0
Connecticut,4116.0,4464.0,4522.0,4734.0,4777.0,4665.0,4813.0,4930.0,4996.0,5398.0,5473.0,5537.0,5692.0
Maine,3720.0,3974.0,4134.0,4334.0,4498.0,4555.0,4602.0,4590.0,5135.0,5155.0,5203.0,5557.0,5911.0
Massachusetts,4022.0,4308.0,4692.0,4888.0,5060.0,4948.0,4935.0,5233.0,5345.0,5988.0,6145.0,6141.0,5795.0
New Hampshire,4043.0,4469.0,4419.0,4814.0,4508.0,4476.0,4520.0,4552.0,4758.0,4771.0,5084.0,4938.0,4806.0
Rhode Island,3919.0,4071.0,4670.0,4432.0,4564.0,4416.0,4504.0,4393.0,4590.0,4647.0,4550.0,4501.0,4213.0
Vermont,3747.0,4293.0,4061.0,4565.0,4497.0,4657.0,5019.0,5301.0,5422.0,5863.0,5876.0,5807.0,5561.0
Mideast,3702.0,4038.0,4183.0,4448.0,4483.0,4572.0,4602.0,4852.0,4993.0,5281.0,5601.0,5775.0,5626.0
Delaware,4036.0,4161.0,4311.0,4900.0,4425.0,4186.0,4436.0,4446.0,4776.0,5298.0,5544.0,5379.0,5636.0
District of Columbia,6930.0,7483.0,7815.0,8498.0,8404.0,8256.0,8517.0,8445.0,8759.0,8972.0,9726.0,9752.0,9385.0
Maryland,3384.0,3739.0,3836.0,4036.0,4031.0,3893.0,4033.0,4140.0,4262.0,4486.0,4850.0,5024.0,5045.0
New Jersey,3427.0,3827.0,3877.0,4211.0,4369.0,4606.0,4731.0,4769.0,5003.0,5166.0,5294.0,5725.0,5514.0
New York,3966.0,4408.0,4684.0,4824.0,4834.0,4957.0,4871.0,5265.0,5324.0,5881.0,6367.0,6445.0,6264.0
Pennsylvania,3507.0,3645.0,3704.0,4072.0,4107.0,4194.0,4234.0,4528.0,4699.0,4711.0,4895.0,5036.0,4839.0
Great Lakes,3657.0,3867.0,3995.0,4010.0,4035.0,4050.0,4164.0,4275.0,4520.0,4727.0,4875.0,4982.0,4748.0
Illinois,3656.0,4104.0,4067.0,4134.0,4224.0,4355.0,4521.0,4566.0,4690.0,5012.0,5091.0,5084.0,4942.0
Indiana,3735.0,3571.0,3586.0,3695.0,3862.0,3913.0,4062.0,4177.0,4294.0,4344.0,4529.0,4799.0,4624.0
Michigan,3549.0,3744.0,3986.0,3744.0,3754.0,3593.0,3681.0,3885.0,4225.0,4456.0,4477.0,4937.0,4633.0
Ohio,3545.0,3554.0,3879.0,3905.0,3849.0,3910.0,3970.0,4241.0,4520.0,4748.0,4933.0,4856.0,4503.0
Wisconsin,3981.0,4488.0,4520.0,4745.0,4644.0,4588.0,4701.0,4474.0,4898.0,4952.0,5360.0,5276.0,5093.0
Plains,3343.0,3558.0,3587.0,3858.0,3999.0,3905.0,3987.0,4120.0,4199.0,4523.0,4742.0,4904.0,4698.0
Iowa,3342.0,3551.0,3741.0,3609.0,3771.0,3680.0,3780.0,4011.0,4192.0,4629.0,4780.0,4836.0,4605.0
Kansas,3167.0,3303.0,3457.0,3615.0,3693.0,3960.0,4025.0,4123.0,4124.0,4378.0,4614.0,4543.0,4379.0
Minnesota,3543.0,3656.0,3704.0,4148.0,4083.0,3888.0,4090.0,4176.0,4355.0,4554.0,4642.0,4938.0,4825.0
Missouri,3276.0,3636.0,3421.0,3832.0,4188.0,4012.0,3933.0,4068.0,3995.0,4465.0,4836.0,5081.0,4864.0
Nebraska,3333.0,3568.0,3758.0,3913.0,4026.0,3807.0,4158.0,4126.0,4295.0,4569.0,4892.0,4843.0,4437.0
North Dakota,3227.0,3370.0,3610.0,3935.0,4167.0,4178.0,4034.0,4454.0,4758.0,4796.0,4863.0,4967.0,4906.0
South Dakota,3171.0,3354.0,3372.0,3690.0,3854.0,3968.0,3920.0,4190.0,4088.0,4394.0,4588.0,4989.0,4634.0
Southeast,3282.0,3489.0,3617.0,3720.0,3821.0,3833.0,3958.0,4128.0,4285.0,4444.0,4705.0,4996.0,4872.0
Alabama,3127.0,3403.0,3318.0,3371.0,3300.0,3330.0,3391.0,3566.0,3740.0,4041.0,4234.0,4681.0,4680.0
Arkansas,3211.0,3219.0,3160.0,3320.0,3562.0,3479.0,3663.0,3724.0,4128.0,4359.0,4634.0,4770.0,4836.0
Florida,3325.0,3533.0,3895.0,3917.0,3957.0,4011.0,4191.0,4319.0,4483.0,4639.0,5104.0,5272.0,5057.0
Georgia,3373.0,3475.0,3578.0,3761.0,3853.0,4018.0,4133.0,4520.0,4613.0,4700.0,4820.0,5277.0,5359.0
Kentucky,3306.0,3797.0,3919.0,4313.0,4323.0,4246.0,4238.0,4408.0,4303.0,4124.0,4644.0,5065.0,4934.0
Louisiana,3264.0,3425.0,3576.0,3597.0,4069.0,4002.0,4136.0,4451.0,4578.0,4540.0,4813.0,5061.0,4665.0
Mississippi,3150.0,3323.0,3603.0,3571.0,3656.0,3654.0,3723.0,3763.0,3801.0,3927.0,4171.0,4514.0,4310.0
North Carolina,3204.0,3611.0,3505.0,3580.0,3551.0,3383.0,3525.0,3972.0,4169.0,4453.0,4487.0,4873.0,4647.0
South Carolina,3300.0,3521.0,3488.0,3810.0,3705.0,3803.0,4007.0,3819.0,3972.0,4134.0,4153.0,4243.0,4402.0
Tennessee,3605.0,3633.0,3739.0,3826.0,4100.0,4192.0,4262.0,4006.0,4421.0,4619.0,4823.0,5236.0,5501.0
Virginia,3092.0,3264.0,3472.0,3447.0,3694.0,3713.0,3876.0,4061.0,4150.0,4316.0,4598.0,4761.0,4434.0
West Virginia,3328.0,3352.0,3342.0,3817.0,4097.0,3858.0,3661.0,3665.0,3838.0,4269.0,4760.0,5108.0,4602.0
Southwest,3212.0,3581.0,3762.0,3781.0,3966.0,3973.0,4079.0,4116.0,4398.0,4470.0,4713.0,4960.0,4763.0
Arizona,3350.0,3464.0,3515.0,3777.0,3766.0,3417.0,3636.0,3828.0,4407.0,4318.0,4424.0,4495.0,4231.0
New Mexico,2703.0,3303.0,3452.0,3819.0,4221.0,4015.0,4065.0,4147.0,4462.0,4739.0,4505.0,4933.0,4773.0
Oklahoma,2840.0,3320.0,3364.0,3239.0,3334.0,3292.0,3597.0,3692.0,3915.0,4217.0,4154.0,4480.0,4620.0
Texas,3276.0,3681.0,3924.0,3874.0,4109.0,4233.0,4276.0,4257.0,4468.0,4531.0,4889.0,5157.0,4923.0
Rocky Mountains,3057.0,3207.0,3178.0,3400.0,3500.0,3589.0,3726.0,3745.0,4076.0,4227.0,4216.0,4159.0,4102.0
Colorado,3334.0,3522.0,3389.0,3758.0,3832.0,3981.0,4151.0,4115.0,4525.0,4835.0,4602.0,4468.0,4538.0
Idaho,2732.0,2936.0,2898.0,2799.0,3027.0,3064.0,3170.0,3486.0,3759.0,3767.0,4076.0,4094.0,4075.0
Montana,2945.0,2914.0,2952.0,3365.0,3517.0,3514.0,3520.0,3339.0,3863.0,4377.0,4377.0,4583.0,4274.0
Utah,2705.0,2796.0,2919.0,3027.0,3058.0,3112.0,3264.0,3318.0,3529.0,3377.0,3539.0,3513.0,3287.0
Wyoming,3750.0,4071.0,3952.0,4142.0,4452.0,4465.0,4597.0,4466.0,4738.0,5215.0,5152.0,5012.0,5355.0
Far West,3390.0,3643.0,3827.0,4097.0,4097.0,4048.0,4201.0,4425.0,4748.0,4812.0,4940.0,5154.0,5168.0
Alaska,4434.0,4845.0,5089.0,5418.0,6143.0,5306.0,5470.0,6684.0,6804.0,6528.0,6278.0,6496.0,6523.0
California,3329.0,3536.0,3763.0,4172.0,4135.0,4131.0,4307.0,4626.0,4976.0,4993.0,5071.0,5312.0,5302.0
Hawaii,3337.0,3513.0,3525.0,3724.0,3899.0,3706.0,3905.0,4101.0,4421.0,4707.0,5186.0,5126.0,4601.0
